entity_type,value,confidence,extraction_method,raw_match,post_id,created_at
credential_pair,email:pass,high,regex,email:pass,62,2026-05-03 03:56:36
email,ashleyhernandez510@jabber.de,high,regex,ashleyhernandez510@jabber.de,64,2026-05-03 03:56:36
cve_id,CVE-2023-28063,high,regex,CVE-2023-28063,65,2026-05-03 03:56:36
email,bryanparsons667@jabber.de,high,regex,bryanparsons667@jabber.de,65,2026-05-03 03:56:36
email,davisphillip@xmpp.jp,high,regex,davisphillip@xmpp.jp,66,2026-05-03 03:56:36
email,schmidtjames@example.com,high,regex,schmidtjames@example.com,67,2026-05-03 03:56:36
email,cjones@example.net,high,regex,cjones@example.net,67,2026-05-03 03:56:36
email,colelisa@example.net,high,regex,colelisa@example.net,67,2026-05-03 03:56:36
credential_pair,schmidtjames@example.com:_22iaHjdh,high,regex,schmidtjames@example.com:_22iaHjdh,67,2026-05-03 03:56:36
credential_pair,cjones@example.net:E^M#F9Sb%4,high,regex,cjones@example.net:E^M#F9Sb%4,67,2026-05-03 03:56:36
credential_pair,colelisa@example.net:PwTmny&p$5,high,regex,colelisa@example.net:PwTmny&p$5,67,2026-05-03 03:56:36
sha256,2d5e087a5818667488edffdbd87ca865057ab38ff62b07804154e90470b4afdd,high,regex,2d5e087a5818667488edffdbd87ca865057ab38ff62b07804154e90470b4afdd,69,2026-05-03 03:56:36
sha1,80ef7422abf5e7e61fd2d1f62fdcf7b663723ec0,high,regex,80ef7422abf5e7e61fd2d1f62fdcf7b663723ec0,70,2026-05-03 03:56:36
cve_id,CVE-2025-44860,high,regex,CVE-2025-44860,70,2026-05-03 03:56:36
pgp_fingerprint,80EF7422ABF5E7E61FD2D1F62FDCF7B663723EC0,high,regex,80ef7422abf5e7e61fd2d1f62fdcf7b663723ec0,70,2026-05-03 03:56:36
sha1,a7a9843f3c67362fa562edd94043d68546c64073,high,regex,a7a9843f3c67362fa562edd94043d68546c64073,71,2026-05-03 03:56:36
pgp_fingerprint,A7A9843F3C67362FA562EDD94043D68546C64073,high,regex,a7a9843f3c67362fa562edd94043d68546c64073,71,2026-05-03 03:56:36
sha256,2a33dbc640120fd1e12421de31c67a36ea724eaad155f90841988c35e021b243,high,regex,2a33dbc640120fd1e12421de31c67a36ea724eaad155f90841988c35e021b243,73,2026-05-03 03:56:36
sha1,1ba7c6fe43dbf1c923b679451635ed7ef469ef86,high,regex,1ba7c6fe43dbf1c923b679451635ed7ef469ef86,73,2026-05-03 03:56:36
pgp_fingerprint,1BA7C6FE43DBF1C923B679451635ED7EF469EF86,high,regex,1ba7c6fe43dbf1c923b679451635ed7ef469ef86,73,2026-05-03 03:56:36
cve_id,CVE-2024-49033,high,regex,CVE-2024-49033,75,2026-05-03 03:56:36
ipv4,57.121.99.205,high,regex,57.121.99.205,75,2026-05-03 03:56:36
ipv4,183.252.209.147,high,regex,183.252.209.147,75,2026-05-03 03:56:36
ipv4,75.232.54.16,high,regex,75.232.54.16,75,2026-05-03 03:56:36
ipv4,179.196.178.183,high,regex,179.196.178.183,75,2026-05-03 03:56:36
email,nullstepha@jabber.de,high,regex,nullstepha@jabber.de,78,2026-05-03 03:56:36
sha256,2a12370aeea0860b848b6f2e83945c1f73b4d1fa0667ab1da5ffee3eb94ea48a,high,regex,2a12370aeea0860b848b6f2e83945c1f73b4d1fa0667ab1da5ffee3eb94ea48a,79,2026-05-03 03:56:36
